id,song_popularity
0,0.30195904
1,0.23389547
2,0.25505754
3,0.3985958
4,0.26351324
5,0.41563264
6,0.2818349
7,0.28410536
8,0.22242382
9,0.27943015
10,0.25463647
11,0.1839787
12,0.086790204
13,0.308994
14,0.43380463
15,0.31978062
16,0.33958536
17,0.1264547
18,0.12908493
19,0.3524289
20,0.004369488
21,0.33773056
22,0.27044624
23,0.3726186
24,0.29036528
25,0.20819975
26,0.1493611
27,0.66262406
28,0.16881041
29,0.0991342
30,0.33204964
31,0.27564734
32,0.17068121
33,0.13329904
34,0.2767723
35,0.22352196
36,0.3283775
37,0.34192467
38,0.40159768
39,0.19889674
40,0.46127856
41,0.0137342615
42,0.21083084
43,0.22027446
44,0.26728553
45,0.32173434
46,0.22962135
47,0.5398971
48,0.26041234
49,0.29933307
50,0.29029223
51,0.24521348
52,0.37102237
53,0.19533864
54,0.6903987
55,0.3057942
56,0.18569593
57,0.3253721
58,0.17184892
59,0.27758014
60,0.2976074
61,0.21008277
62,0.32587668
63,0.02441142
64,0.15305793
65,0.1950678
66,0.117797
67,0.30588382
68,0.46172053
69,0.13480571
70,0.28572598
71,0.24416722
72,0.2219762
73,0.3290123
74,0.34050593
75,0.3236512
76,0.27553415
77,0.4044949
78,0.24079154
79,0.23170075
80,0.11893889
81,0.13308485
82,0.27662653
83,0.10975784
84,0.22736976
85,0.21072234
86,0.21893838
87,0.17905226
88,0.3681552
89,0.48721457
90,0.33566663
91,0.13435544
92,0.327183
93,0.3014131
94,0.237479
95,0.48527583
96,0.15144931
97,0.23831873
98,0.23733947
99,0.20674084
100,0.2072827
101,0.30860898
102,0.35503513
103,0.37758243
104,0.33849066
105,0.63091433
106,0.4120206
107,0.31894162
108,0.21024749
109,0.3666903
110,0.16462903
111,0.36958835
112,0.34342834
113,0.36520386
114,0.12501954
115,0.40307373
116,0.22187364
117,0.06031618
118,0.4321128
119,0.16317868
120,0.14073917
121,0.3321914
122,0.13653189
123,-0.033880696
124,0.06806224
125,0.4987182
126,0.36241353
127,0.059536204
128,0.22591546
129,0.4224667
130,0.2837879
131,0.19470678
132,0.28446445
133,0.3629615
134,0.35420674
135,0.4056485
136,0.25968838
137,0.062781945
138,0.69911927
139,0.41319597
140,0.07056401
141,0.64678437
142,0.27154538
143,0.43374577
144,0.5041688
145,0.3678795
146,0.18750468
147,0.38547635
148,0.22935767
149,0.37435886
150,0.2289916
151,0.2237543
152,0.18884267
153,0.46848074
154,0.39943212
155,0.20598151
156,0.30498672
157,0.11086472
158,0.40945452
159,0.29937923
160,0.2677161
161,0.27229986
162,0.28559428
163,0.27263588
164,0.13915484
165,0.4100326
166,0.39467338
167,0.5200403
168,0.19814935
169,0.42126444
170,0.4001361
171,0.39871657
172,0.17868373
173,0.31642035
174,0.230211
175,0.030670915
176,0.15996888
177,0.33766398
178,0.1766386
179,0.059138246
180,0.2312766
181,0.33762696
182,0.25807866
183,0.326939
184,0.12391352
185,0.121019326
186,0.4383773
187,0.25662693
188,0.4100124
189,0.31136718
190,0.13869143
191,0.26065645
192,0.26844132
193,-0.060996357
194,0.21943754
195,0.14396697
196,0.23742633
197,0.19671749
198,0.33392218
199,0.03155504
200,0.23826358
201,0.43244743
202,0.23192479
203,0.33282214
204,0.33265552
205,0.36945957
206,0.22143435
207,0.42909852
208,0.26940838
209,0.51828855
210,-0.077172056
211,0.41464338
212,0.1511108
213,0.3224762
214,0.15970263
215,0.26041096
216,0.1979808
217,0.3533515
218,0.47541517
219,0.3513402
220,0.3004566
221,0.31709307
222,0.36345673
223,0.22359096
224,0.57328564
225,0.32192478
226,0.3642756
227,0.3984012
228,0.15999457
229,0.12554266
230,0.33659315
231,0.3864785
232,0.32544053
233,0.2574681
234,0.04035724
235,0.60583645
236,0.15157688
237,0.25859758
238,0.3516868
239,0.3095591
240,0.23759142
241,0.64251417
242,0.33849242
243,0.2687362
244,0.48974806
245,0.27712497
246,0.35488373
247,0.19624668
248,0.28250104
249,0.18361685
250,0.1213933
251,0.37307534
252,0.26952592
253,0.32175806
254,0.41904026
255,0.5476088
256,0.25495958
257,0.33920568
258,0.2704219
259,0.17248495
260,0.43742633
261,0.119171716
262,0.2850154
263,0.026992679
264,0.45910934
265,0.28393117
266,0.07975257
267,0.18688765
268,0.24149597
